Question ID,Category,Question,Ground Truth Answer
103,Individual Pay Inquiry,Sample Individual Pay Inquiry question 103: What happened in payroll scenario 103?,Ground truth answer for synthetic payroll scenario 103.
104,Individual Pay Inquiry,Sample Individual Pay Inquiry question 104: What happened in payroll scenario 104?,Ground truth answer for synthetic payroll scenario 104.
105,Individual Pay Inquiry,Sample Individual Pay Inquiry question 105: What happened in payroll scenario 105?,Ground truth answer for synthetic payroll scenario 105.
106,Individual Pay Inquiry,Sample Individual Pay Inquiry question 106: What happened in payroll scenario 106?,Ground truth answer for synthetic payroll scenario 106.
107,Individual Pay Inquiry,Sample Individual Pay Inquiry question 107: What happened in payroll scenario 107?,Ground truth answer for synthetic payroll scenario 107.
108,Individual Pay Inquiry,Sample Individual Pay Inquiry question 108: What happened in payroll scenario 108?,Ground truth answer for synthetic payroll scenario 108.
109,Individual Pay Inquiry,Sample Individual Pay Inquiry question 109: What happened in payroll scenario 109?,Ground truth answer for synthetic payroll scenario 109.
110,Individual Pay Inquiry,Sample Individual Pay Inquiry question 110: What happened in payroll scenario 110?,Ground truth answer for synthetic payroll scenario 110.
111,Individual Pay Inquiry,Sample Individual Pay Inquiry question 111: What happened in payroll scenario 111?,Ground truth answer for synthetic payroll scenario 111.
112,Individual Pay Inquiry,Sample Individual Pay Inquiry question 112: What happened in payroll scenario 112?,Ground truth answer for synthetic payroll scenario 112.
113,Individual Pay Inquiry,Sample Individual Pay Inquiry question 113: What happened in payroll scenario 113?,Ground truth answer for synthetic payroll scenario 113.
114,Individual Pay Inquiry,Sample Individual Pay Inquiry question 114: What happened in payroll scenario 114?,Ground truth answer for synthetic payroll scenario 114.
115,Individual Pay Inquiry,Sample Individual Pay Inquiry question 115: What happened in payroll scenario 115?,Ground truth answer for synthetic payroll scenario 115.
116,Individual Pay Inquiry,Sample Individual Pay Inquiry question 116: What happened in payroll scenario 116?,Ground truth answer for synthetic payroll scenario 116.
117,Individual Pay Inquiry,Sample Individual Pay Inquiry question 117: What happened in payroll scenario 117?,Ground truth answer for synthetic payroll scenario 117.
118,Individual Pay Inquiry,Sample Individual Pay Inquiry question 118: What happened in payroll scenario 118?,Ground truth answer for synthetic payroll scenario 118.
119,Individual Pay Inquiry,Sample Individual Pay Inquiry question 119: What happened in payroll scenario 119?,Ground truth answer for synthetic payroll scenario 119.
120,Individual Pay Inquiry,Sample Individual Pay Inquiry question 120: What happened in payroll scenario 120?,Ground truth answer for synthetic payroll scenario 120.
121,Individual Pay Inquiry,Sample Individual Pay Inquiry question 121: What happened in payroll scenario 121?,Ground truth answer for synthetic payroll scenario 121.
122,Individual Pay Inquiry,Sample Individual Pay Inquiry question 122: What happened in payroll scenario 122?,Ground truth answer for synthetic payroll scenario 122.
123,Individual Pay Inquiry,Sample Individual Pay Inquiry question 123: What happened in payroll scenario 123?,Ground truth answer for synthetic payroll scenario 123.
124,Individual Pay Inquiry,Sample Individual Pay Inquiry question 124: What happened in payroll scenario 124?,Ground truth answer for synthetic payroll scenario 124.
125,Individual Pay Inquiry,Sample Individual Pay Inquiry question 125: What happened in payroll scenario 125?,Ground truth answer for synthetic payroll scenario 125.
126,Individual Pay Inquiry,Sample Individual Pay Inquiry question 126: What happened in payroll scenario 126?,Ground truth answer for synthetic payroll scenario 126.
127,Individual Pay Inquiry,Sample Individual Pay Inquiry question 127: What happened in payroll scenario 127?,Ground truth answer for synthetic payroll scenario 127.
128,Individual Pay Inquiry,Sample Individual Pay Inquiry question 128: What happened in payroll scenario 128?,Ground truth answer for synthetic payroll scenario 128.
129,Individual Pay Inquiry,Sample Individual Pay Inquiry question 129: What happened in payroll scenario 129?,Ground truth answer for synthetic payroll scenario 129.
130,Individual Pay Inquiry,Sample Individual Pay Inquiry question 130: What happened in payroll scenario 130?,Ground truth answer for synthetic payroll scenario 130.
131,Individual Pay Inquiry,Sample Individual Pay Inquiry question 131: What happened in payroll scenario 131?,Ground truth answer for synthetic payroll scenario 131.
132,Individual Pay Inquiry,Sample Individual Pay Inquiry question 132: What happened in payroll scenario 132?,Ground truth answer for synthetic payroll scenario 132.
133,Individual Pay Inquiry,Sample Individual Pay Inquiry question 133: What happened in payroll scenario 133?,Ground truth answer for synthetic payroll scenario 133.
134,Individual Pay Inquiry,Sample Individual Pay Inquiry question 134: What happened in payroll scenario 134?,Ground truth answer for synthetic payroll scenario 134.
135,Individual Pay Inquiry,Sample Individual Pay Inquiry question 135: What happened in payroll scenario 135?,Ground truth answer for synthetic payroll scenario 135.
136,Individual Pay Inquiry,Sample Individual Pay Inquiry question 136: What happened in payroll scenario 136?,Ground truth answer for synthetic payroll scenario 136.
137,Individual Pay Inquiry,Sample Individual Pay Inquiry question 137: What happened in payroll scenario 137?,Ground truth answer for synthetic payroll scenario 137.
138,Individual Pay Inquiry,Sample Individual Pay Inquiry question 138: What happened in payroll scenario 138?,Ground truth answer for synthetic payroll scenario 138.
139,Individual Pay Inquiry,Sample Individual Pay Inquiry question 139: What happened in payroll scenario 139?,Ground truth answer for synthetic payroll scenario 139.
140,Individual Pay Inquiry,Sample Individual Pay Inquiry question 140: What happened in payroll scenario 140?,Ground truth answer for synthetic payroll scenario 140.
141,Individual Pay Inquiry,Sample Individual Pay Inquiry question 141: What happened in payroll scenario 141?,Ground truth answer for synthetic payroll scenario 141.
142,Individual Pay Inquiry,Sample Individual Pay Inquiry question 142: What happened in payroll scenario 142?,Ground truth answer for synthetic payroll scenario 142.
143,Individual Pay Inquiry,Sample Individual Pay Inquiry question 143: What happened in payroll scenario 143?,Ground truth answer for synthetic payroll scenario 143.
144,Individual Pay Inquiry,Sample Individual Pay Inquiry question 144: What happened in payroll scenario 144?,Ground truth answer for synthetic payroll scenario 144.
145,Individual Pay Inquiry,Sample Individual Pay Inquiry question 145: What happened in payroll scenario 145?,Ground truth answer for synthetic payroll scenario 145.
146,Individual Pay Inquiry,Sample Individual Pay Inquiry question 146: What happened in payroll scenario 146?,Ground truth answer for synthetic payroll scenario 146.
147,Individual Pay Inquiry,Sample Individual Pay Inquiry question 147: What happened in payroll scenario 147?,Ground truth answer for synthetic payroll scenario 147.
148,Individual Pay Inquiry,Sample Individual Pay Inquiry question 148: What happened in payroll scenario 148?,Ground truth answer for synthetic payroll scenario 148.
149,Individual Pay Inquiry,Sample Individual Pay Inquiry question 149: What happened in payroll scenario 149?,Ground truth answer for synthetic payroll scenario 149.
150,Individual Pay Inquiry,Sample Individual Pay Inquiry question 150: What happened in payroll scenario 150?,Ground truth answer for synthetic payroll scenario 150.
151,Individual Pay Inquiry,Sample Individual Pay Inquiry question 151: What happened in payroll scenario 151?,Ground truth answer for synthetic payroll scenario 151.
152,Individual Pay Inquiry,Sample Individual Pay Inquiry question 152: What happened in payroll scenario 152?,Ground truth answer for synthetic payroll scenario 152.
153,Individual Pay Inquiry,Sample Individual Pay Inquiry question 153: What happened in payroll scenario 153?,Ground truth answer for synthetic payroll scenario 153.
154,Individual Pay Inquiry,Sample Individual Pay Inquiry question 154: What happened in payroll scenario 154?,Ground truth answer for synthetic payroll scenario 154.
155,Individual Pay Inquiry,Sample Individual Pay Inquiry question 155: What happened in payroll scenario 155?,Ground truth answer for synthetic payroll scenario 155.
156,Individual Pay Inquiry,Sample Individual Pay Inquiry question 156: What happened in payroll scenario 156?,Ground truth answer for synthetic payroll scenario 156.
157,Individual Pay Inquiry,Sample Individual Pay Inquiry question 157: What happened in payroll scenario 157?,Ground truth answer for synthetic payroll scenario 157.
158,Individual Pay Inquiry,Sample Individual Pay Inquiry question 158: What happened in payroll scenario 158?,Ground truth answer for synthetic payroll scenario 158.
159,Individual Pay Inquiry,Sample Individual Pay Inquiry question 159: What happened in payroll scenario 159?,Ground truth answer for synthetic payroll scenario 159.
160,Individual Pay Inquiry,Sample Individual Pay Inquiry question 160: What happened in payroll scenario 160?,Ground truth answer for synthetic payroll scenario 160.
161,Individual Pay Inquiry,Sample Individual Pay Inquiry question 161: What happened in payroll scenario 161?,Ground truth answer for synthetic payroll scenario 161.
162,Individual Pay Inquiry,Sample Individual Pay Inquiry question 162: What happened in payroll scenario 162?,Ground truth answer for synthetic payroll scenario 162.
163,Individual Pay Inquiry,Sample Individual Pay Inquiry question 163: What happened in payroll scenario 163?,Ground truth answer for synthetic payroll scenario 163.
164,Individual Pay Inquiry,Sample Individual Pay Inquiry question 164: What happened in payroll scenario 164?,Ground truth answer for synthetic payroll scenario 164.
165,Individual Pay Inquiry,Sample Individual Pay Inquiry question 165: What happened in payroll scenario 165?,Ground truth answer for synthetic payroll scenario 165.
166,Individual Pay Inquiry,Sample Individual Pay Inquiry question 166: What happened in payroll scenario 166?,Ground truth answer for synthetic payroll scenario 166.
167,Individual Pay Inquiry,Sample Individual Pay Inquiry question 167: What happened in payroll scenario 167?,Ground truth answer for synthetic payroll scenario 167.
168,Individual Pay Inquiry,Sample Individual Pay Inquiry question 168: What happened in payroll scenario 168?,Ground truth answer for synthetic payroll scenario 168.
169,Individual Pay Inquiry,Sample Individual Pay Inquiry question 169: What happened in payroll scenario 169?,Ground truth answer for synthetic payroll scenario 169.
170,Individual Pay Inquiry,Sample Individual Pay Inquiry question 170: What happened in payroll scenario 170?,Ground truth answer for synthetic payroll scenario 170.
171,Individual Pay Inquiry,Sample Individual Pay Inquiry question 171: What happened in payroll scenario 171?,Ground truth answer for synthetic payroll scenario 171.
172,Individual Pay Inquiry,Sample Individual Pay Inquiry question 172: What happened in payroll scenario 172?,Ground truth answer for synthetic payroll scenario 172.
173,Individual Pay Inquiry,Sample Individual Pay Inquiry question 173: What happened in payroll scenario 173?,Ground truth answer for synthetic payroll scenario 173.
174,Individual Pay Inquiry,Sample Individual Pay Inquiry question 174: What happened in payroll scenario 174?,Ground truth answer for synthetic payroll scenario 174.
175,Individual Pay Inquiry,Sample Individual Pay Inquiry question 175: What happened in payroll scenario 175?,Ground truth answer for synthetic payroll scenario 175.
176,Individual Pay Inquiry,Sample Individual Pay Inquiry question 176: What happened in payroll scenario 176?,Ground truth answer for synthetic payroll scenario 176.
177,Individual Pay Inquiry,Sample Individual Pay Inquiry question 177: What happened in payroll scenario 177?,Ground truth answer for synthetic payroll scenario 177.
178,Individual Pay Inquiry,Sample Individual Pay Inquiry question 178: What happened in payroll scenario 178?,Ground truth answer for synthetic payroll scenario 178.
179,Individual Pay Inquiry,Sample Individual Pay Inquiry question 179: What happened in payroll scenario 179?,Ground truth answer for synthetic payroll scenario 179.
180,Individual Pay Inquiry,Sample Individual Pay Inquiry question 180: What happened in payroll scenario 180?,Ground truth answer for synthetic payroll scenario 180.
181,Individual Pay Inquiry,Sample Individual Pay Inquiry question 181: What happened in payroll scenario 181?,Ground truth answer for synthetic payroll scenario 181.
182,Individual Pay Inquiry,Sample Individual Pay Inquiry question 182: What happened in payroll scenario 182?,Ground truth answer for synthetic payroll scenario 182.
183,Individual Pay Inquiry,Sample Individual Pay Inquiry question 183: What happened in payroll scenario 183?,Ground truth answer for synthetic payroll scenario 183.
184,Individual Pay Inquiry,Sample Individual Pay Inquiry question 184: What happened in payroll scenario 184?,Ground truth answer for synthetic payroll scenario 184.
185,Individual Pay Inquiry,Sample Individual Pay Inquiry question 185: What happened in payroll scenario 185?,Ground truth answer for synthetic payroll scenario 185.
186,Individual Pay Inquiry,Sample Individual Pay Inquiry question 186: What happened in payroll scenario 186?,Ground truth answer for synthetic payroll scenario 186.
187,Individual Pay Inquiry,Sample Individual Pay Inquiry question 187: What happened in payroll scenario 187?,Ground truth answer for synthetic payroll scenario 187.
188,Individual Pay Inquiry,Sample Individual Pay Inquiry question 188: What happened in payroll scenario 188?,Ground truth answer for synthetic payroll scenario 188.
189,Individual Pay Inquiry,Sample Individual Pay Inquiry question 189: What happened in payroll scenario 189?,Ground truth answer for synthetic payroll scenario 189.
190,Individual Pay Inquiry,Sample Individual Pay Inquiry question 190: What happened in payroll scenario 190?,Ground truth answer for synthetic payroll scenario 190.
191,Individual Pay Inquiry,Sample Individual Pay Inquiry question 191: What happened in payroll scenario 191?,Ground truth answer for synthetic payroll scenario 191.
192,Individual Pay Inquiry,Sample Individual Pay Inquiry question 192: What happened in payroll scenario 192?,Ground truth answer for synthetic payroll scenario 192.
193,Individual Pay Inquiry,Sample Individual Pay Inquiry question 193: What happened in payroll scenario 193?,Ground truth answer for synthetic payroll scenario 193.
194,Individual Pay Inquiry,Sample Individual Pay Inquiry question 194: What happened in payroll scenario 194?,Ground truth answer for synthetic payroll scenario 194.
195,Individual Pay Inquiry,Sample Individual Pay Inquiry question 195: What happened in payroll scenario 195?,Ground truth answer for synthetic payroll scenario 195.
196,Individual Pay Inquiry,Sample Individual Pay Inquiry question 196: What happened in payroll scenario 196?,Ground truth answer for synthetic payroll scenario 196.
197,Individual Pay Inquiry,Sample Individual Pay Inquiry question 197: What happened in payroll scenario 197?,Ground truth answer for synthetic payroll scenario 197.
198,Individual Pay Inquiry,Sample Individual Pay Inquiry question 198: What happened in payroll scenario 198?,Ground truth answer for synthetic payroll scenario 198.
199,Individual Pay Inquiry,Sample Individual Pay Inquiry question 199: What happened in payroll scenario 199?,Ground truth answer for synthetic payroll scenario 199.
200,Individual Pay Inquiry,Sample Individual Pay Inquiry question 200: What happened in payroll scenario 200?,Ground truth answer for synthetic payroll scenario 200.
201,Population Query,Sample Population Query question 1: What happened in payroll scenario 201?,Ground truth answer for synthetic payroll scenario 201.
202,Population Query,Sample Population Query question 2: What happened in payroll scenario 202?,Ground truth answer for synthetic payroll scenario 202.
203,Population Query,Sample Population Query question 3: What happened in payroll scenario 203?,Ground truth answer for synthetic payroll scenario 203.
204,Population Query,Sample Population Query question 4: What happened in payroll scenario 204?,Ground truth answer for synthetic payroll scenario 204.
205,Population Query,Sample Population Query question 5: What happened in payroll scenario 205?,Ground truth answer for synthetic payroll scenario 205.
206,Population Query,Sample Population Query question 6: What happened in payroll scenario 206?,Ground truth answer for synthetic payroll scenario 206.
